Episode,Step,StepReward,TotalReward,ActionGas,ActionSteer
0,138,0.00327,0.2225,0.45,-0.34
0,139,0.00327,0.2258,0.45,-0.34
0,140,0.00327,0.2291,0.45,-0.34
0,141,0.00238,0.2314,0.65,0.36
0,142,0.00323,0.2347,0.65,0.36
0,143,0.00321,0.2379,0.65,0.36
0,144,0.00325,0.2411,0.65,0.36
0,145,0.00325,0.2444,0.65,0.36
0,146,0.00232,0.2467,0.39,-0.31
0,147,0.00328,0.2500,0.39,-0.31
0,148,0.00332,0.2533,0.39,-0.31
0,149,0.00319,0.2565,0.39,-0.31
0,150,0.00319,0.2597,0.39,-0.31
0,151,0.00272,0.2624,0.73,-0.19
0,152,0.00300,0.2654,0.73,-0.19
0,153,0.00299,0.2684,0.73,-0.19
0,154,0.00300,0.2714,0.73,-0.19
0,155,0.00300,0.2744,0.73,-0.19
0,156,0.00255,0.2769,0.61,0.15
0,157,0.00298,0.2799,0.61,0.15
0,158,0.00295,0.2829,0.61,0.15
0,159,0.00295,0.2858,0.61,0.15
0,160,0.00296,0.2888,0.61,0.15
0,161,0.00268,0.2915,0.58,-0.11
0,162,0.00298,0.2944,0.58,-0.11
0,163,0.00300,0.2974,0.58,-0.11
0,164,0.00299,0.3004,0.58,-0.11
0,165,0.00300,0.3034,0.58,-0.11
0,166,0.00224,0.3057,1.00,0.22
0,167,0.00297,0.3086,1.00,0.22
0,168,0.00294,0.3116,1.00,0.22
0,169,0.00295,0.3145,1.00,0.22
0,170,0.00294,0.3175,1.00,0.22
0,171,0.00244,0.3199,0.73,-0.02
0,172,0.00297,0.3229,0.73,-0.02
0,173,0.00297,0.3259,0.73,-0.02
0,174,0.00297,0.3288,0.73,-0.02
0,175,0.00297,0.3318,0.73,-0.02
0,176,0.00242,0.3342,0.39,-0.24
0,177,0.00300,0.3372,0.39,-0.24
0,178,0.00300,0.3402,0.39,-0.24
0,179,0.00300,0.3432,0.39,-0.24
0,180,0.00300,0.3462,0.39,-0.24
0,181,0.00227,0.3485,0.03,0.14
0,182,0.00220,0.3507,0.03,0.14
0,183,0.00144,0.3521,0.03,0.14
0,184,0.00068,0.3528,0.03,0.14
0,185,-0.00009,0.3527,0.03,0.14
0,186,-0.00096,0.3518,0.54,0.00
0,187,0.00118,0.3530,0.54,0.00
0,188,0.00194,0.3549,0.54,0.00
0,189,0.00270,0.3576,0.54,0.00
0,190,0.00297,0.3606,0.54,0.00
0,191,0.00243,0.3630,1.00,-0.08
0,192,0.00298,0.3660,1.00,-0.08
0,193,0.00298,0.3690,1.00,-0.08
0,194,0.00298,0.3719,1.00,-0.08
0,195,0.00298,0.3749,1.00,-0.08
0,196,0.00238,0.3773,0.74,-0.42
0,197,0.00325,0.3805,0.74,-0.42
0,198,0.00352,0.3840,0.74,-0.42
0,199,0.00351,0.3876,0.74,-0.42
0,200,0.00351,0.3911,0.74,-0.42
0,201,0.00264,0.3937,0.35,0.07
0,202,0.00348,0.3972,0.35,0.07
0,203,0.00296,0.4002,0.35,0.07
0,204,0.00295,0.4031,0.35,0.07
0,205,0.00294,0.4060,0.35,0.07
0,206,0.00220,0.4082,0.88,0.31
0,207,0.00310,0.4114,0.88,0.31
0,208,0.00310,0.4145,0.88,0.31
0,209,0.00310,0.4176,0.88,0.31
0,210,0.00311,0.4207,0.88,0.31
0,211,0.00231,0.4230,0.61,-0.23
0,212,0.00312,0.4261,0.61,-0.23
0,213,0.00310,0.4292,0.61,-0.23
0,214,0.00302,0.4322,0.61,-0.23
0,215,0.00300,0.4352,0.61,-0.23
0,216,0.00276,0.4380,0.67,-0.04
0,217,0.00297,0.4409,0.67,-0.04
0,218,0.00298,0.4439,0.67,-0.04
0,219,0.00297,0.4469,0.67,-0.04
0,220,0.00298,0.4499,0.67,-0.04
0,221,0.00288,0.4528,0.60,-0.07
0,222,0.00299,0.4558,0.60,-0.07
0,223,0.00299,0.4587,0.60,-0.07
0,224,0.00298,0.4617,0.60,-0.07
0,225,0.00299,0.4647,0.60,-0.07
0,226,0.00277,0.4675,0.49,-0.16
0,227,0.00299,0.4705,0.49,-0.16
0,228,0.00299,0.4735,0.49,-0.16
0,229,0.00299,0.4764,0.49,-0.16
0,230,0.00299,0.4794,0.49,-0.16
0,231,0.00281,0.4822,0.49,0.03
0,232,0.00296,0.4852,0.49,0.03
0,233,0.00296,0.4882,0.49,0.03
0,234,0.00296,0.4911,0.49,0.03
0,235,0.00296,0.4941,0.49,0.03
0,236,0.00283,0.4969,0.48,-0.11
0,237,0.00298,0.4999,0.48,-0.11
0,238,0.00298,0.5029,0.48,-0.11
0,239,0.00298,0.5059,0.48,-0.11
0,240,0.00298,0.5089,0.48,-0.11
0,241,0.00285,0.5117,0.58,-0.07
0,242,0.00298,0.5147,0.58,-0.07
0,243,0.00298,0.5177,0.58,-0.07
0,244,0.00298,0.5206,0.58,-0.07
0,245,0.00298,0.5236,0.58,-0.07
0,246,0.00254,0.5262,0.41,0.21
0,247,0.00294,0.5291,0.41,0.21
0,248,0.00294,0.5320,0.41,0.21
0,249,0.00294,0.5350,0.41,0.21
0,250,0.00293,0.5379,0.41,0.21
0,251,0.00240,0.5403,0.44,-0.29
0,252,0.00297,0.5433,0.44,-0.29
0,253,0.00313,0.5464,0.44,-0.29
0,254,0.00313,0.5495,0.44,-0.29
0,255,0.00313,0.5527,0.44,-0.29
0,256,0.00242,0.5551,0.90,-0.04
0,257,0.00297,0.5581,0.90,-0.04
0,258,0.00297,0.5610,0.90,-0.04
0,259,0.00297,0.5640,0.90,-0.04
0,260,0.00297,0.5670,0.90,-0.04
0,261,0.00272,0.5697,0.73,0.03
0,262,0.00296,0.5727,0.73,0.03
0,263,0.00296,0.5756,0.73,0.03
0,264,0.00296,0.5786,0.73,0.03
0,265,0.00297,0.5815,0.73,0.03
0,266,0.00160,0.5831,0.16,-0.75
0,267,0.00298,0.5861,0.16,-0.75
0,268,0.00302,0.5891,0.16,-0.75
0,269,0.00230,0.5914,0.16,-0.75
0,270,0.00157,0.5930,0.16,-0.75
0,271,-0.00040,0.5926,0.90,-0.24
0,272,0.00092,0.5935,0.90,-0.24
0,273,0.00163,0.5952,0.90,-0.24
0,274,0.00236,0.5975,0.90,-0.24
0,275,0.00302,0.6005,0.90,-0.24
0,276,0.00272,0.6033,0.69,-0.34
0,277,0.00330,0.6066,0.69,-0.34
0,278,0.00328,0.6098,0.69,-0.34
0,279,0.00331,0.6131,0.69,-0.34
0,280,0.00329,0.6164,0.69,-0.34
0,281,0.00305,0.6195,0.75,-0.53
